c_household_status_code,c_household_status_desc,c_household_status_desc_chn
0,Unknown,"未詳"
1,"Civilian household","民戶"
2,"Military household","軍戶"
3,"Artisan household","匠戶"
4,"Official household","官戶"
5,"Cook household","竈戶"
6,"Literary household","儒籍"
7,"Lishi household","力士籍"
8,"Yongshi household","勇士籍"
9,"Prophet household","占籍"
10,"Sijiaowei household","司校尉籍"
11,"Si household","司籍"
12,"Officer household","官藉"
13,"Wealthy household","富戶籍"
14,"Archer household","弓兵籍"
15,"Suo household","所籍"
16,"Qi household","旗籍"
17,"Jiaowei household","校尉籍"
18,"Jiao household","校籍"
19,"Zao household","灶籍"
20,"Shengyuan household","生員籍"
21,"Jian household","監籍"
23,"Zhan household","站籍"
24,"Wei household","衛籍"
26,"Doctor household","醫籍"
27,"Zhenfusi household","鎮撫司籍"
28,"Yinyang household","陰陽籍"
29,"Machuan household","馬船籍"
30,"Salt household","鹽籍"
31,"Military and artisan household","軍匠籍"
32,"Military and cook household","軍竈籍(軍鹽籍)"
33,"Civilian and artisan household","民匠籍"
34,"Military and civilian household","軍民籍"
35,"Military and official household","軍官籍"
