c_kinrel,c_upstep,c_dwnstep,c_marstep,c_colstep
B,0,0,0,1
BD,0,1,0,1
BS,0,1,0,1
BSD,0,2,0,1
BSS,0,2,0,1
BSSD,0,3,0,1
BSSS,0,3,0,1
BSSSW,0,3,1,1
BSSW,0,2,1,1
BSW,0,1,1,1
BW,0,0,1,1
D,0,1,0,0
DD,0,2,0,0
DH,0,1,1,0
DS,0,2,0,0
DSD,0,3,0,0
DSS,0,3,0,0
DSW,0,2,1,0
F,1,0,0,0
FB,1,0,0,1
FBD,1,1,0,1
FBS,1,1,0,1
FBSD,1,2,0,1
FBSS,1,2,0,1
FBSSD,1,3,0,1
FBSSS,1,3,0,1
FBSSSW,1,3,1,1
FBSSW,1,2,1,1
FBSW,1,1,1,1
FBW,1,0,1,1
FF,2,0,0,0
FFB,2,0,0,1
FFBD,2,1,0,1
FFBS,2,1,0,1
FFBSD,2,2,0,1
FFBSS,2,2,0,1
FFBSSD,2,3,0,1
FFBSSS,2,3,0,1
FFBSSSW,2,3,1,1
FFBSSW,2,2,1,1
FFBSW,2,1,1,1
FFBW,2,0,1,1
FFF,3,0,0,0
FFFB,3,0,0,1
FFFBD,3,1,0,1
FFFBS,3,1,0,1
FFFBSD,3,2,0,1
FFFBSS,3,2,0,1
FFFBSSD,3,3,0,1
FFFBSSS,3,3,0,1
FFFBSSSW,3,3,1,1
FFFBSSW,3,2,1,1
FFFBSW,3,1,1,1
FFFBW,3,0,1,1
FFFF,4,0,0,0
FFFM,4,0,0,0
FFFZ,3,0,0,1
FFM,3,0,0,0
FFZ,2,0,0,1
FM,2,0,0,0
FZ,1,0,0,1
FZS,1,1,0,1
FZSS,1,2,0,1
H,0,0,1,0
HB,0,0,1,1
HBD,0,1,1,1
HBS,0,1,1,1
HBSD,0,2,1,1
HBSS,0,2,1,1
HBSSD,0,3,1,1
HBSSS,0,3,1,1
HBSSSW,0,3,2,1
HBSSW,0,2,2,1
HBSW,0,1,2,1
HBW,0,0,2,1
HF,1,0,1,0
HFB,1,0,1,1
HFBD,1,1,1,1
HFBS,1,1,1,1
HFBSD,1,2,1,1
HFBSS,1,2,1,1
HFBSSD,1,3,1,1
HFBSSS,1,3,1,1
HFBSSSW,1,3,2,1
HFBSSW,1,2,2,1
HFBSW,1,1,2,1
HFBW,1,0,2,1
HFF,2,0,1,0
HFFB,2,0,1,1
HFFBD,2,1,1,1
HFFBS,2,1,1,1
HFFBSD,2,2,1,1
HFFBSS,2,2,1,1
HFFBSSD,2,3,1,1
HFFBSSS,2,3,1,1
HFFBSSSW,2,3,2,1
HFFBSSW,2,2,2,1
HFFBSW,2,1,2,1
HFFBW,2,0,2,1
HFFF,3,0,1,0
HFFFB,3,0,1,1
HFFFBD,3,1,1,1
HFFFBS,3,1,1,1
HFFFBSD,3,2,1,1
HFFFBSS,3,2,1,1
HFFFBSSD,3,3,1,1
HFFFBSSS,3,3,1,1
HFFFBSSSW,3,3,2,1
HFFFBSSW,3,2,2,1
HFFFBSW,3,1,2,1
HFFFBW,3,0,2,1
HFFFF,4,0,1,0
HFFFM,4,0,1,0
HFFFZ,3,0,1,1
HFFM,3,0,1,0
HFFZ,2,0,1,1
HFM,2,0,1,0
HFZ,1,0,1,1
HM,1,0,1,0
HZ,0,0,1,1
M,1,0,0,0
MB,1,0,0,1
MBS,1,1,0,1
MBSS,1,2,0,1
MF,2,0,0,0
MFBDS,2,2,0,1
MFBSS,2,2,0,1
MFF,3,0,0,0
MFM,3,0,0,0
MM,2,0,0,0
MZ,1,0,0,1
MZS,1,1,0,1
MZSS,1,2,0,1
S,0,1,0,0
S,0,1,0,0
SD,0,2,0,0
SS,0,2,0,0
SSD,0,3,0,0
SSS,0,3,0,0
SSSD,0,4,0,0
SSSS,0,4,0,0
SSSSW,0,4,1,0
SSSW,0,3,1,0
SSW,0,2,1,0
SW,0,1,1,0
W,0,0,1,0
WB,0,0,1,1
WBS,0,1,1,1
WBW,0,0,2,1
WF,1,0,1,0
WFB,1,0,1,1
WFF,2,0,1,0
WFM,2,0,2,0
WFZ,1,0,1,1
WM,1,0,1,0
WMF,2,0,1,0
WMM,2,0,1,0
WZ,0,0,1,1
WZS,0,1,1,1
Z,0,0,0,1
